"id","no","route","code","location","delivery","info","tng_site","tng_route","latitude","longitude","images","sort_order","qr_code","destination","toll_price","active","no_category"
"013e813d-c75e-4f0f-bb89-919558cf3774","45","SL 2","205","Cmh Specialist Hospital","","CMH Specialist Hospital (Hospital Pakar CMH), lot 3900, Jln Tun Dr. Ismail, Bandar Seremban, 70200 Seremban, Negeri Sembilan","TnG Subang Jaya","0.00","2.73770230","101.93141520","[]","73","","0.00","0.00","true","1"
"06149515-94f0-4b77-9a46-f0bb5e736281","31","SL 2","15","R&R Dengkil SB","","Kawasan Rehat & Rawat Dengkil Arah Selatan, 63000, ELITE, 63000 Dengkil, Selangor","TnG Petaling Jaya","0.00","2.90405530","101.61514240","[]","4","","0.00","0.00","true","1"
"066653f1-41e3-48b8-807f-ae0d3c115bad","84","KL 4","81","Wisma Amfirst","","Suite 1001-1, Level 10, Tower 1, Wisma AmFIRST, Jalan Stadium SS 7/15, SS7, 47301 Petaling Jaya, Selangor","TnG Sentul","0.00","3.09727600","101.59345700","[]","24","","0.00","0.00","true","1"
"0af23313-641c-4062-82d4-7750977a461b","66","KL 6","30","Nirvana Sg Besi","Alt 2","Nirvana Memorial Center 富贵纪念馆 Official, Express, Wisma Nirvana, 1 jalan 1, 116A, Lebuhraya Sungai Besi, Kampung Baru Salak Selatan, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur|||DESCRIPTION||||||URL|||https://www.nirvana.com.my","TnG Wangsa Maju","0.00","3.08868510","101.69606620","[]","7","","0.00","0.00","false","1"
"12096da4-6280-4fe1-9c67-d786c243978d","10","SL 1","118","Kpj Kajang","Daily","","TnG Ampang","0.00",,,"[]","42","","0.00","0.00","true","1"
"12702782-21ce-4b02-8450-7d1d127e59bd","16","KL 7","126","Ppum Menara Selatan","Daily","","TnG KL Central","0.00",,,"[]","47","","0.00","0.00","true","1"
"15841c89-4fb4-4de6-bd9a-245661d05fbb","87","KL 4","85","Menara Kwsp","Weekday","Menara KWSP, 1, Persiaran Kwasa Utama, Seksyen U4, 40150 Shah Alam, Selangor","TnG Kepong","0.00","3.17302740","101.57089110","[]","27","","0.00","0.00","true","1"
"1667a05d-17cc-4953-ab96-827d41f0c6c8","65","SL 1","253","Sony Emcs 2","Weekday","Sony EMCS (Malaysia) Sdn Bhd, Lot 5, Persiaran Kemajuan, Kawasan Perindustrian Bangi, 43650 Bandar Baru Bangi, Selangor","TnG KLCC","0.00","2.93903830","101.75982170","[]","91","","0.00","0.00","true","1"
"16e52ca4-4a95-4b42-a833-8e9cb744cb9f","48","KL 7","210","Ppum Konkos","Weekday","","TnG Shah Alam","0.00",,,"[]","75","","0.00","0.00","true","1"
"1be88334-46f3-4da4-ba24-bb4974dc039b","63","SL 1","247","Meta Residence","Daily","Meta Residence, Jln Atmosphere Utama 2, Pusat Bandar Putra Permai, 43300 Seri Kembangan, Selangor","TnG KLCC","0.00","2.98098130","101.66067840","[]","89","","0.00","0.00","true","1"
"23209276-f703-46f1-9a11-6ef0b8a9fef3","64","KL 6","250","Bukit Jalil Jaya","Daily","Bukit Jalil City Roundabout, Pusat Perdagangan Bandar, Persiaran Jalil 2, Bukit Jalil, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur","TnG Kepong","0.00","3.05348840","101.67070350","[]","90","","0.00","0.00","true","1"
"23cf9e26-720e-4eb2-9543-d0242e0990d9","51","SL 3","218","BBT ONE","Weekday","BBT One - The Towers - Bukit Tinggi, Jalan Langat, Bandar Bukit Tinggi, 41200 Klang, Selangor","TnG KL Central","0.00","3.00756670","101.44068480","[]","78","","0.00","0.00","true","1"
"23f8c209-1a65-4cee-9800-bd9dc1e3dec1","20","SL 1","130","Hupm Lobby Utama","Daily","","TnG Setapak","0.00",,,"[]","50","","0.00","0.00","true","1"
"2d328398-7ead-4a7e-aeb1-526625fbd922","13","KL 7","120","Tnb Tower","Weekday","3, Jalan Bukit Pantai, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur","TnG Bukit Bintang","0.00","3.12032570","101.66872760","[]","44","https://i.ibb.co/sp1s7Jyj/IMG-8320.jpg","0.00","0.00","true","1"
"2ee18433-9005-4200-83cd-74f7f21589bc","90","KL 4","95","Mrt Depoh Sg Buloh","Weekday","Depot MRT Sungai Buloh, Jalan Sungai Buloh, U 4, 47810 Petaling Jaya, Selangor","TnG Setapak","0.00","3.18249700","101.56627380","[]","29","","0.00","0.00","true","1"
"3034a20e-8176-4344-b531-b4e91038f75c","59","SL 3","24","Trifoil Residence","","TREFOIL @ Setia City, 2, Jln Setia Dagang AH U13/AH, Setia Alam, 40170 Shah Alam, Selangor","TnG KL Central","0.00","3.11144380","101.45995240","[]","6","","0.00","0.00","true","1"
"32540e03-b987-435f-893c-4393f1920f80","67","KL 4","31","AraGreens Residence","","AraGreens Residences, 6A, Jalan PJU 1a/3, Ara Damansara, 47301 Petaling Jaya, Selangor|||DESCRIPTION|||K|||URL|||https://www.aragreens.net","TnG Bukit Bintang","0.00","3.12095260","101.57794750","[]","8","","0.00","0.00","true","1"
"33447f34-e16a-43eb-82c3-157afaae10ee","28","KL 7","145","JKR HQ","Weekday","","TnG Subang Jaya","0.00",,,"[]","57","","0.00","0.00","true","1"
"344b7613-7c56-43b3-9fcb-0d84bcf7d9ab","22","KL 4","132","D Latour","Daily","","TnG Brickfields","0.00",,,"[]","52","","0.00","0.00","true","1"
"34c243bd-06ce-4acc-ba82-3e6201d9cd7f","35","KL 7","164","Dayabumi Complex","Weekday","","TnG Setapak","0.00",,,"[]","63","","0.00","0.00","false","1"
"3a12ea0d-bc24-41eb-84ca-e9755b95e885","24","SL 1","138","Upm Medic Faculty","Weekday","","TnG Bukit Bintang","0.00",,,"[{""url"":""https://i.ibb.co/vNVR1jN/IMG-8329.jpg"",""type"":""image"",""caption"":""Laluan masuk office hour""},{""url"":""https://i.ibb.co/wF4jBYqq/IMG-8328.jpg"",""type"":""image"",""caption"":""Laluan masuk office hour""},{""url"":""https://i.ibb.co/Xxf2wbSs/IMG-8327.jpg"",""type"":""image"",""caption"":""Laluan masuk pada hari sabtu dan ahad""},{""url"":""https://i.ibb.co/NgtjYprZ/IMG-8326.jpg"",""type"":""image"",""caption"":""Laluan masuk pada hari sabtu dan ahad""}]","54","","0.00","0.00","true","1"
"3d778ddf-9d0f-4f75-96c2-0533ad2c0b2b","56","KL 4","231","Monash BBB","Weekday","","TnG Sentul","0.00",,,"[]","83","","0.00","0.00","true","1"
